□	□□□	□	□	□
㕍	㕍厂隹厂	厂	厂	厂隹
㕎	㕎厂盍厂	厂	厂	厂盍
㕏	㕏厂斗厂	厂	厂	厂斗
㕐	㕐厂灬厂	厂	厂	厂灬
㕑	㕑厂寸厂	厂	厂	厂寸
㕒	㕒厂義厂	厂	厂	厂義
㕓	㕓厂墨厂	厂	厂	厂墨
㕔	㕔厂聽厂	厂	厂	厂聽
㕕	㕕厶厶厶	厶	厶	厶厶
㕖	㕖厶木厶	厶	厶	厶木
㕗	㕗羊厶厶	厶	厶	羊厶
㕘	㕘厶小厶	厶	厶	厶小
㕙	㕙夋兔厶	厶	厶	夋兔
㕚	㕚叉丶又	又	又	叉丶
㕛	㕛又又又	又	又	又又
㕜	㕜中又又	又	又	中又
㕝	㕝古又又	又	又	古又
㕞	㕞尸又又	又	又	尸又
㕟	㕟卜又又	又	又	卜又
㕠	㕠准又又	又	又	准又
㕡	㕡卜又又	又	又	卜又
㕢	㕢卜又貝	貝	貝	卜又
㕣	㕣八口口	口	口	八口
㕤	㕤口九口	口	口	口九
㕥	㕥口人口	口	口	口人
㕦	㕦口大口	口	口	口大
㕧	㕧口尸口	口	口	口尸
㕨	㕨口凡口	口	口	口凡
㕩	㕩口丰口	口	口	口丰
㕪	㕪口冘口	口	口	口冘
㕫	㕫口方口	口	口	口方
㕬	㕬口公口	口	口	口公
㕭	㕭口夭口	口	口	口夭
㕮	㕮口父口	口	口	口父
㕯	㕯内口口	口	口	内口
㕰	㕰口毛口	口	口	口毛
㕱	㕱口尤口	口	口	口尤
㕲	㕲口木口	口	口	口木
㕳	㕳口凶口	口	口	口凶
㕴	㕴口冗口	口	口	口冗
㕵	㕵口王口	口	口	口王
㕶	㕶口五口	口	口	口五
㕷	㕷口白口	口	口	口白
㕸	㕸口立口	口	口	口立
㕹	㕹口犮口	口	口	口犮
㕺	㕺口丂口	口	口	口丂
㕻	㕻丶否口	口	口	丶否
㕼	㕼口匈口	口	口	口匈
㕽	㕽口以口	口	口	口以
㕾	㕾小叱口	口	口	小叱
㕿	㕿禾口口	口	口	禾口
㖀	㖀口聿口	口	口	口聿
㖁	㖁口厷口	口	口	口厷
㖂	㖂口曳口	口	口	口曳
㖃	㖃口后口	口	口	口后
㖄	㖄口州口	口	口	口州
㖅	㖅口戌口	口	口	口戌
㖆	㖆口曲口	口	口	口曲
㖇	㖇口而口	口	口	口而
㖈	㖈老口口	口	口	老口
㖉	㖉口企口	口	口	口企
㖊	㖊口寻口	口	口	口寻
㖋	㖋介叱口	口	口	介叱
㖌	㖌仇叱口	口	口	仇叱
㖍	㖍斗叱口	口	口	斗叱
㖎	㖎叱介口	口	口	叱介
㖏	㖏口土口	口	口	口土
㖐	㖐口尹口	口	口	口尹
㖑	㖑口戒口	口	口	口戒
㖒	㖒口弟口	口	口	口弟
㖓	㖓口夆口	口	口	口夆
㖔	㖔口吞口	口	口	口吞
㖕	㖕口辛口	口	口	口辛
㖖	㖖辛口口	口	口	辛口
㖗	㖗口今口	口	口	口今
㖘	㖘口辰口	口	口	口辰
㖙	㖙加叱口	口	口	加叱
㖚	㖚付叱口	口	口	付叱
㖛	㖛古叱口	口	口	古叱
㖜	㖜亠叱口	口	口	亠叱
㖝	㖝未叱口	口	口	未叱
㖞	㖞口呙口	口	口	口呙
㖟	㖟口受口	口	口	口受
㖠	㖠口奈口	口	口	口奈
㖡	㖡口夜口	口	口	口夜
㖢	㖢口此口	口	口	口此
㖣	㖣口咅口	口	口	口咅
㖤	㖤口函口	口	口	口函
㖥	㖥口囷口	口	口	口囷
㖦	㖦口東口	口	口	口東
㖧	㖧口昏口	口	口	口昏
㖨	㖨口录口	口	口	口录
㖩	㖩口取口	口	口	口取
㖪	㖪口或口	口	口	口或
㖫	㖫口夌口	口	口	口夌
㖬	㖬口又口	口	口	口又
㖭	㖭口忝口	口	口	口忝
㖮	㖮口侖口	口	口	口侖
㖯	㖯同叱口	口	口	同叱
㖰	㖰叱同口	口	口	叱同
㖱	㖱夜口口	口	口	夜口
㖲	㖲如叱口	口	口	如叱
㖳	㖳汝叱口	口	口	汝叱
㖴	㖴口勿口	口	口	口勿
㖵	㖵口具口	口	口	口具
㖶	㖶口土口	口	口	口土
㖷	㖷口是口	口	口	口是
㖸	㖸口虐口	口	口	口虐
㖹	㖹口盆口	口	口	口盆
㖺	㖺口春口	口	口	口春
㖻	㖻口柔口	口	口	口柔
㖼	㖼口某口	口	口	口某
㖽	㖽口頁口	口	口	口頁
㖾	㖾口屰口	口	口	口屰
㖿	㖿口耶口	口	口	口耶
㗀	㗀口幽口	口	口	口幽
㗁	㗁口咢口	口	口	口咢
㗂	㗂口省口	口	口	口省
㗃	㗃口日口	口	口	口日
㗄	㗄口方口	口	口	口方
㗅	㗅口胡口	口	口	口胡
㗆	㗆口革口	口	口	口革
㗇	㗇口叚口	口	口	口叚
㗈	㗈口勇口	口	口	口勇
㗉	㗉丰各口	口	口	丰各
㗊	㗊吕吕口	口	口	吕吕
㗋	㗋口矦口	口	口	口矦
㗌	㗌口室口	口	口	口室
㗍	㗍口香口	口	口	口香
㗎	㗎口架口	口	口	口架
㗏	㗏口歪口	口	口	口歪
㗐	㗐口皿口	口	口	口皿
㗑	㗑口拜口	口	口	口拜
㗒	㗒口哀口	口	口	口哀
㗓	㗓口追口	口	口	口追
㗔	㗔口虔口	口	口	口虔
㗕	㗕口冓口	口	口	口冓
㗖	㗖口舀口	口	口	口舀
㗗	㗗另卑口	口	口	另卑
㗘	㗘口尃口	口	口	口尃
㗙	㗙口芻口	口	口	口芻
㗚	㗚口栗口	口	口	口栗
㗛	㗛口笑口	口	口	口笑
㗜	㗜口畜口	口	口	口畜
㗝	㗝口羔口	口	口	口羔
㗞	㗞口破口	口	口	口破
㗟	㗟注叱口	口	口	注叱
㗠	㗠始叱口	口	口	始叱
㗡	㗡艹叱口	口	口	艹叱
㗢	㗢口動口	口	口	口動
㗣	㗣口帶口	口	口	口帶
㗤	㗤戚口口	口	口	戚口
㗥	㗥口郭口	口	口	口郭
㗦	㗦口聊口	口	口	口聊
㗧	㗧口至口	口	口	口至
